"id","priority","phase","area","title","description","acceptance_criteria","test_mcp","required_skills","required_mcp","review_initial_requirements","review_regression_requirements","dev_state","review_initial_state","review_regression_state","git_state","owner","refs","notes"
"PLAN-01","P1","1","backend","建立命令与余额持久化领域","增加命令执行事件、余额查询和自定义运营商规则模型，并提供覆盖 16 个预设的只读注册表。","WHEN 数据库初始化 THEN 新表自动迁移且旧数据不受影响; WHEN 遍历 16 个 MCC/MNC THEN 每项返回可审计规则或 unsupported 说明; WHEN 自定义解析正则非法 THEN 返回明确校验错误; ref: internal/db/db.go:152","CONTRACT","","","检查模型状态枚举、唯一约束、索引、RE2 校验和来源字段，不写入猜测规则。","运行数据库迁移测试与 16 运营商表驱动测试，确认现有数据库测试无回归。","已完成","已完成","已完成","已提交","","internal/db/db.go:82; internal/db/command_center.go:1; internal/carrierquery/builtin.go:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-002,CLAIM-005,CLAIM-006,CLAIM-007; evidence_level:integration; production_path:covered; picked_reason:后续命令和查询服务的公共数据基础; done_at:2026-08-11; evidence:go test -timeout=60s ./internal/carrierquery ./internal/db passed; evidence:claim ledger validator passed; skills_used:mission-approved-doc;mission-csv-execute"
"PLAN-02","P1","2","backend","统一通知渠道命令服务","抽取频道无关的命令注册表和执行器，让 Web 与 QQ、Telegram、飞书继续使用相同行为，并加入 help 与 balance 接口。","WHEN 任一通知渠道注册命令 THEN 原有八个命令行为保持; WHEN 查询命令目录 THEN 返回十个命令及参数元数据; WHEN 执行未知或非法命令 THEN 返回明确错误且不产生假成功; ref: internal/notify/commands.go:1","AUTOSERVER","","","检查依赖由构造函数注入，异步 Reply 行为可被 Web 事件记录器接收，命令参数解析无 shell 拼接。","运行 notify 全包测试和命令服务单测，确认既有机器人命令回归通过。","已完成","已完成","已完成","已提交","","internal/notify/commands.go:1; internal/notify/manager.go:171; internal/notify/command_service.go:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-001; evidence_level:integration; production_path:covered; picked_reason:余额服务和 Web API 都依赖统一命令入口; done_at:2026-08-11; evidence:go test -timeout=60s ./internal/notify passed; evidence:catalog exposes 10 commands and dynamic balance injection test passed; skills_used:mission-csv-execute"
"PLAN-03","P0","3","backend","实现余额查询状态机和真实路由","实现余额规则匹配、SMS/USSD 发起、短信回复关联、五分钟超时及结果解析，严格复用当前 VoWiFi 或后端链路。","WHEN VoWiFi 活跃 THEN SMS 仅调用 VoWiFi 路由且 USSD 仅调用 USSI; WHEN VoWiFi 不活跃 THEN 使用当前 backend; WHEN 查询执行前后 THEN 飞行和网络状态不变且无自动重试; WHEN 同 ICCID 已有 pending THEN 返回冲突; WHEN 完整匹配短信到达五分钟内 THEN 查询完成并保留原文; ref: internal/device/pool_sms.go:422","AUTOSERVER","","","检查状态跃迁、并发唯一性、超时、发送者规范化、完整短信限定和不改变射频状态。","运行设备路由、SMS 入站关联、USSD、并发和超时测试，确认 SMS/VoWiFi/QMI/MBIM 现有测试无回归。","已完成","已完成","已完成","已提交","","internal/device/pool.go:1; internal/device/pool_sms.go:422; internal/device/vowifi_state_api.go:56","claim_ledger:web-command-balance.claims.json; claims:CLAIM-003,CLAIM-004,CLAIM-005; evidence_level:integration; production_path:covered; picked_reason:真实余额发送与入站关联是核心生产链路; done_at:2026-08-11; evidence:go test -timeout=60s ./internal/balance ./internal/db passed; evidence:targeted internal/device SMS and VoWiFi recorder tests passed; evidence:go test -race -timeout=60s ./internal/balance and go vet passed; regression_note:full internal/device run exposed unchanged timing-sensitive TestBackendAttachmentDiscoveryWaitRejectsAmbiguousIMEI while isolated count=3 passed; skills_used:mission-csv-execute"
"PLAN-04","P1","4","backend","接线鉴权 API 与 SSE","把共享命令和余额服务接入生产 Server，提供批准的 REST、SSE、游标分页、历史清理和规则覆盖接口并同步 OpenAPI。","WHEN 经 Bearer 鉴权调用生产路由 THEN 命令和余额全链路可达; WHEN 未鉴权 THEN 返回 401; WHEN SSE 使用 Last-Event-ID 重连 THEN 只收到后续事件; WHEN 清空历史 THEN 活跃执行保留; ref: internal/api/server.go:206","AUTOE2E","","","检查所有端点在认证组内、输入边界验证、HTTP 状态码、SSE 资源释放和分页稳定性。","通过 httptest 走 router→auth→service→SQLite 完整管线，并校验 OpenAPI 覆盖所有端点。","已完成","已完成","已完成","已提交","","internal/api/server.go:206; internal/api/openapi.vohive.yaml:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-001,CLAIM-002,CLAIM-007,CLAIM-009; evidence_level:integration; production_path:covered; done_at:2026-08-11; evidence:go test -timeout=60s ./internal/api ./internal/commandcenter ./internal/balance ./internal/notify passed; evidence:go test -race -timeout=60s ./internal/api ./internal/commandcenter ./internal/balance passed; evidence:httptest verified bearer 401, router-to-SQLite execution, balance route and Last-Event-ID resume; evidence:OpenAPI YAML parsed and all new paths asserted; skills_used:go-api-design;mission-csv-execute"
"PLAN-05","P1","5","both","构建响应式 Web 命令中心","新增独立 commands 页面、服务层和导航入口，实现时间线、余额面板、斜杠补全、快捷动作确认与规则编辑。","WHEN 桌面和移动端登录访问 /commands THEN 页面无重叠且命令输入、补全、分页、清空、SSE 更新可操作; WHEN 点击 switch/vocall/rotate 快捷动作 THEN 必须确认; WHEN 查看余额 THEN 同时展示结构化结果和运营商原文; ref: web/src/router/index.ts:1","AUTOE2E","ui-ux-pro-max","chrome-devtools;playwright","检查信息密度、44px 触控目标、键盘焦点、aria-live、错误与加载状态、无新外部字体或依赖。","运行前端类型检查、测试、构建；在桌面和移动视口完成登录、多步交互、截图、console/network 检查。","已完成","已完成","已完成","已提交","","web/src/router/index.ts:1; web/src/layouts/AuthenticatedShell.vue:1; web/src/composables/useEventStream.ts:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-005,CLAIM-007,CLAIM-008; evidence_level:integration; production_path:covered; done_at:2026-08-11; evidence:npm run typecheck, npm run lint, npm test (19 passed), npm run build passed; evidence:backend before_id cursor, race and vet passed; evidence:isolated real server login, 10-command catalog, /help accepted-to-result persistence and SSE frames passed; validation_limited:browser skill runtime returned no available browser instances after required setup and troubleshooting, so desktop/mobile screenshots, console and click workflow could not run; required_mcp_unavailable:browser/chrome-devtools/playwright; skills_used:ui-ux-pro-max;browser;mission-csv-execute"
"PLAN-06","P1","6","both","补齐跨层自动化回归","覆盖 16 个规则、共享命令、余额状态机、API 鉴权/SSE 和前端关键交互，确保声明与证据对应。","WHEN 执行后端测试且硬超时 60 秒 THEN 新增及受影响包通过; WHEN 执行前端检查 THEN 类型、测试和构建通过; WHEN 审计测试名称 THEN 不把 mock 或静态检查声明成真实发送; ref: go.mod:1","AUTOE2E","ui-ux-pro-max","playwright","检查测试是否覆盖错误路径、并发、持久化和路由选择，禁止用 fake 证明真实运营商送达。","运行相关 Go 包及全量可行测试、前端测试和 Playwright 命名场景，记录失败和既有债务。","已完成","已完成","已完成","已提交","","go.mod:1; web/package.json:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-006,CLAIM-009; evidence_level:integration; production_path:covered; done_at:2026-08-11; evidence:go test -timeout=60s ./cmd/... ./internal/... ./pkg/... passed; evidence:go test -race -timeout=60s ./internal/api ./internal/commandcenter ./internal/balance ./internal/notify passed; evidence:go vet affected packages passed; evidence:frontend typecheck, lint, 19 tests and production build passed; fix:QQ initial and asynchronous command replies are now ordered and serialized after race detector found a real concurrent conversation write; validation_limited:go test ./... cannot scan user-owned untracked old/vowifi-go because recovered files contain invalid source prefixes, explicit production directories all passed; validation_limited:required browser runtime remained unavailable as recorded in PLAN-05, no Playwright delivery claim; skills_used:mission-csv-execute"
"PLAN-07","P1","7","infra","构建部署并做无副作用冒烟","构建 Linux amd64 产物、校验 SHA256、部署远端并验证服务、鉴权 API、SSE 与现有设备状态，不主动发送短信或 USSD。","WHEN 远端安装新产物 THEN systemd 服务稳定运行且 /api/health 与鉴权命令目录可达; WHEN 查看设备 THEN QMI/MBIM/VoWiFi 现有状态无启动回归; WHEN 未获得真实查询授权 THEN 不产生 SMS/USSD 副作用; ref: cmd/vohive/main.go:1","AUTOE2E","","","检查打包内容、哈希、服务日志、回滚文件和远端现有用户数据不被覆盖。","远端启动后检查 systemd、HTTP、SSE 握手和近端日志；真实 CTExcel/giffgaff 查询标为待授权验证。","已完成","已完成","已完成","已提交","","cmd/vohive/main.go:1; scripts:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-010,CLAIM-011; evidence_level:real_e2e; production_path:covered; limited_allowed:真实短信和 USSD 是外部计费副作用，需要再次明确授权; picked_reason:前置实现与自动化验证已完成，进入真实部署冒烟; done_at:2026-08-12; evidence:make build-amd64 produced static Linux amd64 UPX binary with SHA256 51efc265a4e82cfbf4562a4748fe4eaf4e62aea2602da9692272199f0ce0edda; evidence:remote and local SHA256 matched before activation; evidence:systemd active running with NRestarts=0 and rollback drop-in retained; evidence:/ping and /commands returned 200, unauthenticated catalog returned 401, authenticated catalog exposed 10 commands; evidence:/help produced accepted and result events and completed state; evidence:SSE replay returned command frames with event IDs; evidence:/api/health returned 200 for wwan0 and wwan1; evidence:both devices reported sim/access/tunnel/ims/sms ready with VoWiFi active and cellular network false; evidence:no error-level service logs after deployment; validation_limited:no SMS or USSD was sent because external carrier side effects require explicit authorization; skills_used:mission-csv-execute"
"REVIEW-01","P0","8","review","审计命令中心与余额查询愿景","独立对照批准方案、claim ledger、提交、测试和真实浏览器/远端证据，发现可证伪缺口时追加后续 issue。","WHEN review 执行 THEN 逐条检查十一个承诺的覆盖、生产接线和证据等级; WHEN 应用启动及完整流程执行 THEN Web/通知渠道可到达共享命令服务且余额回复可进入持久化时间线; WHEN 真实运营商查询未授权 THEN 不得包装为已通过; ref: issues/web-command-balance/source.md:1","MANUAL","","","确认前置普通 issue 全部闭环且声明、文件名、测试名与证据等级一致。","逐条读取 web-command-balance.claims.json，检查命令共享、16 个规则、SMS/USSD 路由、鉴权 SSE、浏览器 UI 和远端部署的生产路径。","已完成","已完成","已完成","已提交","","issues/web-command-balance/source.md:1; issues/web-command-balance/web-command-balance.claims.json:1","review_kind:vision; source_doc:source.md; claim_ledger:web-command-balance.claims.json; claim_coverage:11/11; claim_coverage_status:gaps; review_agent_mode:direct-spawn-agent; review_independence:strong; review_actual_model:gpt-5; review_result:gaps_found; claim_evidence_alignment:mismatches_found; limited_validation_honestly_reported:partial; followup:FOLLOWUP-01,FOLLOWUP-02,FOLLOWUP-03,REVIEW-02; review_log:web-command-balance.review.md; handoff:web-command-balance.handoff.md; handoff_contract:passed; handoff_humanized:false; validation_limited:Chrome control runtime exposed no browser instance after extension and native-host diagnostics; skills_used:mission-csv-execute;chrome"
"FOLLOWUP-01","P0","9","backend","对齐公开 API 并拒绝无法关联的规则","实现批准的 command-center、balances、设备作用域 balance-queries 和 carrier-query-rules 路径，保留现有路径兼容；ResponseSMS 规则必须有非空发送者。","WHEN 请求批准路径且未鉴权 THEN 返回 401 而非 404; WHEN 鉴权调用批准路径 THEN 到达现有生产服务; WHEN POST 规则集合 THEN 创建自定义规则; WHEN ResponseSMS 发送者为空 THEN 保存前返回明确 400 且不发送查询; ref: issues/web-command-balance/source.md:28","AUTOE2E","go-api-design","","检查别名不绕过 Bearer、设备 ID 只取路径参数、旧路径兼容且内置规则不可写。","运行 API 表驱动契约测试、规则校验、OpenAPI、race 和相关后端包测试。","已完成","已完成","已完成","已提交","","internal/api/command_center.go:1; internal/api/balance_query.go:1; internal/carrierquery/types.go:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-004,CLAIM-007,CLAIM-009; picked_reason:REVIEW-01 发现批准 API 返回 404 且空发送者规则必然超时; done_at:2026-08-12; implementation:批准路径成为 Web 主调用，现有 commands/balance 路径保留为同鉴权处理器兼容别名; evidence:API 表驱动测试确认 12 个批准 method/path 未鉴权均为 401; evidence:鉴权 command execution、设备作用域余额启动、SSE 和规则集合 POST 走生产服务; evidence:ResponseSMS 空发送者返回 400 且存储调用为 0; evidence:OpenAPI 同时声明批准路径与兼容路径; validation:focused Go tests, race, vet and frontend typecheck/lint/19 tests passed; skills_used:go-api-design;mission-csv-execute"
"FOLLOWUP-02","P1","10","frontend","修正命令中心布局和设备参数选择","桌面改为左侧设备/余额、右侧时间线；移动端设备区置顶且输入区避开安全区；设备型快捷命令使用当前选中设备生成可编辑文本。","WHEN 选择 wwan0 后点击 status/sms/esim/balance THEN 输入框带入对应设备 ID; WHEN 桌面渲染 THEN 余额栏在左; WHEN 移动渲染 THEN 设备区在时间线上方且输入区持续可见并使用 safe-area; ref: issues/web-command-balance/source.md:44","AUTOE2E","ui-ux-pro-max;chrome:control-chrome","chrome-devtools;playwright","检查 44px 触控目标、键盘焦点、文本不重叠和危险快捷动作仍强制确认。","运行组件工具测试、类型检查、lint、构建；Chrome 能力可用时做三视口真实交互，否则诚实记录受限。","已完成","已完成","已完成","已提交","","web/src/views/Commands.vue:1; web/src/components/commands/CommandComposer.vue:1; web/src/utils/commandInput.ts:1; web/tests/commandLayoutSource.test.ts:1","claim_ledger:web-command-balance.claims.json; claims:CLAIM-008; picked_reason:REVIEW-01 发现桌面/移动结构与批准布局相反且普通命令仍需手写设备 ID; done_at:2026-08-12; implementation:桌面左侧余额设备栏、移动端顶部设备区和底部 safe-area 输入区; evidence:选中 wwan0 后设备型普通命令模板带入设备 ID; evidence:ResponseSMS 空发送者前端即时校验; evidence:npm run typecheck, npm run lint, npm test (22 passed), npm run build passed; evidence:源码结构契约测试确认 BalancePanel 位于 conversation 前且移动输入区使用 safe-area; validation_limited:Chrome 控制通道在扩展和 native host 诊断通过后仍返回 Browser is not available，因此未宣称三视口视觉与点击验收通过; skills_used:ui-ux-pro-max;chrome:control-chrome;mission-csv-execute"
